1,2 -> 1,3  	Importes: 		0,22 € 		0,17 € 		0,11 € 		0,20 € 		0,15 € 		0,10 €
1,2 -> 1,4  	Importes: 		0,34 € 		0,26 € 		0,17 € 		0,31 € 		0,23 € 		0,15 €
1,2 -> 1,6  	Importes: 		0,58 € 		0,44 € 		0,29 € 		0,52 € 		0,40 € 		0,26 €
1,2 -> 1,8  	Importes: 		0,82 € 		0,62 € 		0,41 € 		0,74 € 		0,56 € 		0,37 €
1,2 -> 1,9  	Importes: 		0,94 € 		0,71 € 		0,47 € 		0,85 € 		0,64 € 		0,42 €
1,2 -> 1,10  	Importes: 		1,06 € 		0,80 € 		0,53 € 		0,95 € 		0,72 € 		0,48 €
1,2 -> 2,1  	Importes: 		0,34 € 		0,26 € 		0,17 € 		0,31 € 		0,23 € 		0,15 €
1,2 -> 2,6  	Importes: 		0,70 € 		0,53 € 		0,35 € 		0,63 € 		0,48 € 		0,32 €
1,2 -> 2,11  	Importes: 		1,30 € 		0,98 € 		0,65 € 		1,17 € 		0,88 € 		0,59 €
1,2 -> 3,3  	Importes: 		0,46 € 		0,35 € 		0,23 € 		0,41 € 		0,32 € 		0,21 €
1,2 -> 3,9  	Importes: 		1,18 € 		0,89 € 		0,59 € 		1,06 € 		0,80 € 		0,53 €
1,2 -> 4,1  	Importes: 		0,58 € 		0,44 € 		0,29 € 		0,52 € 		0,40 € 		0,26 €
1,2 -> 4,3  	Importes: 		0,58 € 		0,44 € 		0,29 € 		0,52 € 		0,40 € 		0,26 €
1,2 -> 4,5  	Importes: 		0,82 € 		0,62 € 		0,41 € 		0,74 € 		0,56 € 		0,37 €
1,2 -> 4,6  	Importes: 		0,94 € 		0,71 € 		0,47 € 		0,85 € 		0,64 € 		0,42 €
1,2 -> 4,7  	Importes: 		1,06 € 		0,80 € 		0,53 € 		0,95 € 		0,72 € 		0,48 €
1,2 -> 4,9  	Importes: 		1,30 € 		0,98 € 		0,65 € 		1,17 € 		0,88 € 		0,59 €
1,2 -> 4,11  	Importes: 		1,54 € 		1,16 € 		0,77 € 		1,39 € 		1,04 € 		0,69 €
1,3 -> 1,2  	Importes: 		0,22 € 		0,17 € 		0,11 € 		0,20 € 		0,15 € 		0,10 €
1,3 -> 1,4  	Importes: 		0,22 € 		0,17 € 		0,11 € 		0,20 € 		0,15 € 		0,10 €
1,3 -> 1,6  	Importes: 		0,46 € 		0,35 € 		0,23 € 		0,41 € 		0,32 € 		0,21 €
1,3 -> 1,8  	Importes: 		0,70 € 		0,53 € 		0,35 € 		0,63 € 		0,48 € 		0,32 €
1,3 -> 1,9  	Importes: 		0,82 € 		0,62 € 		0,41 € 		0,74 € 		0,56 € 		0,37 €
1,3 -> 1,10  	Importes: 		0,94 € 		0,71 € 		0,47 € 		0,85 € 		0,64 € 		0,42 €
1,3 -> 2,1  	Importes: 		0,46 € 		0,35 € 		0,23 € 		0,41 € 		0,32 € 		0,21 €
1,3 -> 2,6  	Importes: 		0,58 € 		0,44 € 		0,29 € 		0,52 € 		0,40 € 		0,26 €
1,3 -> 2,11  	Importes: 		1,18 € 		0,89 € 		0,59 € 		1,06 € 		0,80 € 		0,53 €
1,3 -> 3,3  	Importes: 		0,34 € 		0,26 € 		0,17 € 		0,31 € 		0,23 € 		0,15 €
1,3 -> 3,9  	Importes: 		1,06 € 		0,80 € 		0,53 € 		0,95 € 		0,72 € 		0,48 €
1,3 -> 4,1  	Importes: 		0,70 € 		0,53 € 		0,35 € 		0,63 € 		0,48 € 		0,32 €
1,3 -> 4,3  	Importes: 		0,46 € 		0,35 € 		0,23 € 		0,41 € 		0,32 € 		0,21 €
